Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240901070008,0,1004.55,28.18,100,2833.66,1.86
20240901071008,0,1004.58,28.38,100,3093.5,2.31
20240901072008,0,1004.6,28.65,100,3338.25,2.8
20240901073008,0,1004.62,29.07,100,3582,3.38
20240901074008,0,1004.7,29.09,100,3804,3.96
20240901075008,0,1004.79,29.55,100,4032,4.56
20240901080008,0,1004.92,29.95,100,4259.83,5.23
20240901081008,0,1005.02,30.17,100,4449.92,5.8
20240901082008,0,1005.06,30.61,100,4631.92,6.37
20240901083008,0,1005.05,30.86,96.38,4807.09,6.76
20240901084008,0,1004.96,31.16,92.2,4938.17,7.18
20240901085008,0,1005.03,31.55,90.14,5111.75,7.57
20240902070008,0,1004.17,29.16,100,2900.33,2
20240902071008,0,1004.2,29.04,100,3160.16,2.46
20240902072008,0,1004.28,29.32,100,3397.17,2.97
20240902073008,0,1004.42,29.62,100,3582.83,3.4
20240902074008,0,1004.48,29.72,100,3818.08,3.99
20240902075008,0,1004.56,29.82,100,3854,4.01
20240902080008,0,1004.67,30.33,100,4213.58,5.03
20240902081008,0,1004.8,30.6,100,4518.33,6.01
20240902082008,0,1004.83,30.82,99.86,4692.92,6.47
20240902083008,0,1004.77,31.29,97.92,4874.08,7.05
20240902084008,0,1004.76,31.37,97.39,5015.17,7.39
20240902085008,0,1004.78,31.8,95.13,5222.92,7.99
20240903080008,0,1003.86,30.66,91.13,4847.6,7.18
20240903081008,0,1003.86,30.61,93.51,4977.5,7.58
20240903082008,0,1003.81,30.83,93.49,5245.92,8.66
20240903083008,0,1003.8,31.32,90.4,5469.82,9.39
20240903084008,0,1003.88,31.86,88.53,5770.34,10.27
20240903085008,0,1003.9,32.18,85.43,5925.75,10.64
20240904070008,0,1000.75,27.86,100,2203.83,0.87
20240904071008,0,1000.79,28.21,100,3046.08,2.31
20240904072008,0,1000.73,28.67,100,3656.25,3.59
20240904073008,0,1000.86,28.99,100,3594,3.44
20240904074008,0,1000.88,29.38,100,5657,8.4
20240904075008,0,1000.86,30.07,100,7856.75,15.04
20240904080008,0,1000.86,30.57,100,8998.34,20.28
20240904081008,0,1000.85,30.89,100,9584.58,23.13
20240904082008,0,1000.82,30.79,100,11034.58,31.31
20240904083008,0,1000.63,31.4,99.74,9250.08,23.12
20240904084008,0,1000.57,31.73,95.2,6108.58,11.35
20240904085008,0,1000.54,31.62,95.12,7083.25,13.72
20240905070008,0,999.73,28.54,100,3479.33,2.53
20240905071008,0,999.72,28.83,100,4820.5,5.73
20240905072008,0,999.81,29.29,100,6080,9.11
20240905073008,0,999.75,29.51,100,3829.5,3
20240905074008,0,999.83,29.34,100,3973,3.4
