序號,答案
20240117090001,151.44
20240117091001,205.42
20240117092001,243.04
20240117093001,280.87
20240117094001,319.38
20240117095001,349.62
20240117100001,367.91
20240117101001,374.24
20240117102001,374.58
20240117103001,373.12
20240117104001,371.95
20240117105001,374.53
20240117110001,378.95
20240117111001,382.24
20240117112001,383.93
20240117113001,384.55
20240117114001,384.66
20240117115001,384.58
20240117120001,384.46
20240117121001,384.36
20240117122001,384.28
20240117123001,384.23
20240117124001,384.19
20240117125001,384.16
20240117130001,384.13
20240117131001,384.1
20240117132001,384.08
20240117133001,384.07
20240117134001,384.07
20240117135001,384.07
20240117140001,384.07
20240117141001,384.07
20240117142001,384.07
20240117143001,384.07
20240117144001,384.07
20240117145001,384.07
20240117150001,384.07
20240117151001,384.07
20240117152001,384.07
20240117153001,384.07
20240117154001,384.07
20240117155001,384.07
20240117160001,384.07
20240117161001,384.07
20240117162001,384.07
20240117163001,384.07
20240117164001,384.07
20240117165001,384.07
20240119090001,228.04
20240119091001,191.29
20240119092001,238.05
20240119093001,277.46
20240119094001,312.92
20240119095001,341.99
20240119100001,360.7
20240119101001,369.7
20240119102001,372.09
20240119103001,372.36
20240119104001,373.13
20240119105001,374.99
20240119110001,378.95
20240119111001,382.24
20240119112001,383.93
20240119113001,384.55
20240119114001,384.66
20240119115001,384.58
20240119120001,384.46
20240119121001,384.36
20240119122001,384.28
20240119123001,384.23
20240119124001,384.19
20240119125001,384.16
20240119130001,384.13
20240119131001,384.1
20240119132001,384.08
20240119133001,384.07
20240119134001,384.07
20240119135001,384.07
20240119140001,384.07
20240119141001,384.07
20240119142001,384.07
20240119143001,384.07
20240119144001,384.07
20240119145001,384.07
20240119150001,384.07
20240119151001,384.07
20240119152001,384.07
20240119153001,384.07
20240119154001,384.07
20240119155001,384.07
20240119160001,384.07
20240119161001,384.07
20240119162001,384.07
20240119163001,384.07
20240119164001,384.07
20240119165001,384.07
20240224090001,95.36
20240224091001,286.09
20240224092001,291.82
20240224093001,305.13
20240224094001,330.87
20240224095001,354.87
20240224100001,370.92
20240224101001,377.42
20240224102001,377.46
20240224103001,374.09
20240224104001,372.15
20240224105001,374.18
20240224110001,378.95
20240224111001,382.24
20240224112001,383.93
20240224113001,384.55
20240224114001,384.66
20240224115001,384.58
20240224120001,384.46
20240224121001,384.36
20240224122001,384.28
20240224123001,384.23
