FileName,time,epoch,metrics,last_val_outcome,best_val_outcome,best_outcome_epoch,other
2024-11-16T12_29_15Z,2024-11-16T12_29_15Z,1000,val_loss,48585.10546875,41657.18359375,622,"EarlyStopping, patience=40, min_delta=0.000001"
2024-11-16T13_55_56Z,2024-11-16T13_55_56Z,1000,val_r2_score,0.7976740598678589,0.8281041979789734,647,"R2score + EarlyStopping, patience=40, min_delta=0.000001"
2024-11-16T14_53_01Z,2024-11-16T14_53_01Z,1000,val_r2_score,0.8000367879867554,0.83388352394104,646,"R2score + EarlyStopping, patience=40, min_delta=0.0001"
2024-11-16T15_40_55Z,2024-11-16T15_40_55Z,1000,val_r2_score,0.8190943002700806,0.8345944881439209,681,"R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-16T18_28_53Z,2024-11-16T18_28_53Z,1000,val_r2_score,0.8124038577079773,0.8316554427146912,698,"rmsprop + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-16T19_05_10Z,2024-11-16T19_05_10Z,1000,val_r2_score,0.8040693402290344,0.8262380361557007,711,"nadam + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-16T20_10_41Z,2024-11-16T20_10_41Z,1000,val_r2_score,-0.1176066398620605,-0.0172823667526245,24,"sgd + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-16T20_36_07Z,2024-11-16T20_36_07Z,1000,val_r2_score,-0.1204884052276611,-0.0505461692810058,65,"sgd + R2score + EarlyStopping, patience=40, min_delta=0.000001"
2024-11-16T21_01_59Z,2024-11-16T21_01_59Z,1000,val_r2_score,-0.7729383707046509,-0.7729383707046509,999,"Adagrad + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-16T22_15_10Z,2024-11-16T22_15_10Z,1000,val_r2_score,0.7897050976753235,0.8369815349578857,700,"AdamW + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T06_04_51Z,2024-11-17T06_04_51Z,1000,val_r2_score,0.8154125213623047,0.8234077095985413,994,"Adamax + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T09_27_22Z,2024-11-17T09_27_22Z,1000,val_r2_score,-0.7908354997634888,-0.7908354997634888,860,"Adadelta + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T10_06_58Z,2024-11-17T10_06_58Z,1000,val_r2_score,0.8705341815948486,0.8746715188026428,273,"Adafactor + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T10_33_23Z,2024-11-17T10_33_23Z,1000,val_r2_score,-0.7735103368759155,-0.7735103368759155,999,"Ftrl + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T11_26_28Z,2024-11-17T11_26_28Z,1000,val_r2_score,-0.2443358898162841,-0.2443358898162841,999,"Lion + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T12_15_29Z,2024-11-17T12_15_29Z,1000,val_r2_score,0.8088909983634949,0.8264426589012146,721,"LossScaleOptimizer(Adam) + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T13_13_53Z,2024-11-17T13_13_53Z,1000,val_r2_score,0.8715678453445435,0.8752158284187317,248,"LossScaleOptimizer(Adafactor) + R2score + EarlyStopping, patience=20, min_delta=0.0001"
2024-11-17T13_52_13Z,2024-11-17T13_52_13Z,1000,val_r2_score,0.8003969192504883,0.8157268166542053,659,"LossScaleOptimizer(Nadam) + R2score + EarlyStopping, patience=20, min_delta=0.0001"
